Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,PQ_student_encoded,PQ_student_named,Previous qualification /10,Nacionality,Mother's qualification,MQ_encoded,MQ_encoded,MQ_named,Father's qualification,FQ_encoded,FQ_named,Mother's occupation,MO_encoded,MO_named,1000,Father's occupation,FO_encoded,FO_named,Salaire_père,Revenu_foyer,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),"CU 1st sem (grade, number)",Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),"CU 2nd sem (grade, number)",Curricular units 2nd sem (without evaluations),Year,Unemployment rate,Inflation rate,GDP,Target
1,39,1,9991,0.00,3,4,Licence,"12,0",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1300,9,6,Ouvriers,900,2200,"14,10",0,0,0,1,0,0,29,0,10,15,15,11,"11,45",9,13,16,11,"11,55",0,2010,"10,8","1,4","1,74",Dropout
1,17,1,9853,1.00,1,3,Lycée terminé,"13,3",1,38,2,2,Collège,12,3,Lycée,7,6,Ouvriers,900,0,7,Etudiant,0,900,"11,15",0,0,0,0,0,1,20,0,0,6,10,4,"12,00",0,6,14,3,"10,00",0,2008,"7,6","2,6","0,32",Dropout
4,39,1,9853,1.00,1,3,Lycée terminé,"14,3",1,37,2,2,Collège,1,3,Lycée,9,6,Ouvriers,1300,10,5,Employés,1200,2500,"14,00",0,0,1,0,0,0,31,0,0,7,8,6,"12,67",0,7,9,5,"12,60",0,2017,"8,9","1,4","3,51",Dropout
1,17,1,9670,1.00,1,3,Lycée terminé,"14,9",1,19,3,3,Lycée,37,2,Collège,7,6,Ouvriers,900,4,5,Employés,1200,2100,"13,43",0,1,0,1,0,0,20,0,0,6,7,6,"12,67",0,6,9,6,"13,78",0,2010,"10,8","1,4","1,74",Graduate
1,17,1,9003,1.00,1,3,Lycée terminé,"13,3",1,38,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"12,53",1,0,0,1,0,0,21,0,12,18,22,18,"11,89",11,13,13,13,"11,46",0,2012,"15,5","2,8","-4,06",Graduate
1,7,1,9130,1.00,3,4,Licence,"14,0",1,19,3,3,Lycée,38,2,Collège,9,6,Ouvriers,1000,9,6,Ouvriers,900,1900,"14,00",1,0,0,1,0,0,23,0,0,6,0,0,"0,00",0,6,0,0,"0,00",0,2015,"12,4","0,5","1,79",Dropout
1,17,5,9070,1.00,1,3,Lycée terminé,"12,2",1,19,3,3,Lycée,38,2,Collège,5,5,Employés,900,7,6,Ouvriers,1300,2200,"11,96",0,0,1,0,0,0,21,0,0,6,6,4,"13,00",0,6,8,4,"11,60",0,2010,"10,8","1,4","1,74",Dropout
1,7,1,9500,1.00,40,4,Licence,"17,0",1,1,3,3,Lycée,1,3,Lycée,9,6,Ouvriers,1200,4,5,Employés,1200,2400,"17,00",0,0,0,1,0,0,24,0,4,7,7,7,"16,89",3,8,9,8,"15,74",0,2013,"16,2","0,3","-0,92",Graduate
1,39,1,8014,0.00,1,3,Lycée terminé,"12,0",1,1,3,3,Lycée,1,3,Lycée,4,5,Employés,1350,4,5,Employés,1200,2550,"15,05",0,0,0,1,0,0,27,0,0,6,6,6,"12,50",1,6,6,6,"12,33",0,2012,"15,5","2,8","-4,06",Graduate
1,1,1,9500,1.00,1,3,Lycée terminé,"14,3",1,1,3,3,Lycée,37,2,Collège,3,4,Professions intermédiaires,1000,8,6,Ouvriers,1200,2200,"12,80",0,0,0,1,0,1,18,0,0,7,9,7,"13,06",0,8,8,8,"15,81",0,2014,"13,9","-0,3","0,79",Graduate
1,1,3,171,1.00,1,3,Lycée terminé,"11,5",1,9,3,3,Lycée,1,3,Lycée,6,1,Agriculteurs exploitants,1350,6,1,Agriculteurs exploitants,1000,2350,"10,87",1,0,0,0,0,0,21,0,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2009,"9,4","-0,8","-3,12",Dropout
1,17,1,9130,1.00,1,3,Lycée terminé,"12,3",1,19,3,3,Lycée,3,4,Licence,3,4,Professions intermédiaires,1300,2,3,Cadres et professions intellectuelles,2000,3300,"12,16",1,0,1,1,0,1,19,0,0,5,7,0,"0,00",0,5,5,0,"0,00",0,2008,"7,6","2,6","0,32",Dropout
1,1,6,9500,1.00,1,3,Lycée terminé,"13,1",1,38,2,2,Collège,19,3,Lycée,7,6,Ouvriers,900,7,6,Ouvriers,1300,2200,"12,53",1,0,0,1,0,1,19,0,0,8,8,7,"12,36",0,8,8,7,"12,36",0,2010,"10,8","1,4","1,74",Graduate
1,17,1,9085,1.00,1,3,Lycée terminé,"12,7",1,19,3,3,Lycée,38,2,Collège,194,5,Employés,1000,193,6,Ouvriers,900,1900,"11,76",0,0,0,1,0,0,18,0,0,6,0,0,"0,00",0,6,0,0,"0,00",0,2015,"12,4","0,5","1,79",Dropout
1,43,3,9500,1.00,1,3,Lycée terminé,"12,6",1,38,2,2,Collège,37,2,Collège,6,1,Agriculteurs exploitants,900,5,5,Employés,1000,1900,"12,43",1,0,0,1,0,1,18,0,0,7,8,5,"11,98",0,7,8,5,"11,98",0,2008,"7,6","2,6","0,32",Enrolled
1,1,2,9853,1.00,1,3,Lycée terminé,"11,2",1,37,2,2,Collège,37,2,Collège,191,6,Ouvriers,1200,182,6,Ouvriers,1000,2200,"10,61",1,0,1,1,0,1,20,0,0,7,7,7,"13,86",0,7,8,7,"12,57",0,2017,"8,9","1,4","3,51",Graduate
2,1,1,8014,0.00,1,3,Lycée terminé,"15,0",1,1,3,3,Lycée,37,2,Collège,4,5,Employés,3000,7,6,Ouvriers,1300,4300,"13,99",1,0,0,1,0,0,24,0,0,6,9,5,"13,00",0,6,6,6,"14,17",0,2009,"9,4","-0,8","-3,12",Graduate
1,1,1,9070,1.00,1,3,Lycée terminé,"11,6",1,1,3,3,Lycée,1,3,Lycée,1,3,Cadres et professions intellectuelles,1000,1,3,Cadres et professions intellectuelles,3000,4000,"11,08",1,0,0,1,0,0,20,0,0,6,6,6,"12,83",0,6,10,6,"11,17",0,2015,"12,4","0,5","1,79",Graduate
1,17,3,9147,1.00,1,3,Lycée terminé,"11,8",1,1,3,3,Lycée,19,3,Lycée,5,5,Employés,900,7,6,Ouvriers,1300,2200,"11,80",0,0,0,1,0,0,20,0,0,5,11,4,"11,00",0,5,7,5,"13,20",0,2015,"12,4","0,5","1,79",Enrolled
1,1,1,9500,1.00,1,3,Lycée terminé,"13,0",1,19,3,3,Lycée,37,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"11,78",1,0,0,1,0,1,19,0,0,8,8,7,"12,36",0,8,8,7,"12,36",0,2011,"12,7","3,7","-1,7",Graduate
1,1,6,9500,1.00,1,3,Lycée terminé,"14,4",1,1,3,3,Lycée,37,2,Collège,9,6,Ouvriers,1300,9,6,Ouvriers,900,2200,"12,75",1,0,0,1,0,1,18,0,0,8,8,7,"13,86",0,8,8,7,"13,86",0,2011,"12,7","3,7","-1,7",Graduate
1,17,2,9238,1.00,3,4,Licence,"10,5",1,37,2,2,Collège,37,2,Collège,7,6,Ouvriers,900,8,6,Ouvriers,1200,2100,"12,97",1,0,0,1,0,1,20,0,0,6,6,6,"12,33",0,6,6,6,"10,67",0,2009,"9,4","-0,8","-3,12",Graduate
1,17,1,9500,1.00,1,3,Lycée terminé,"14,3",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1200,8,6,Ouvriers,1200,2400,"13,06",1,0,0,1,0,0,20,0,0,7,8,7,"12,85",0,8,10,8,"13,79",0,2013,"16,2","0,3","-0,92",Graduate
1,17,2,9500,1.00,1,3,Lycée terminé,"13,7",1,19,3,3,Lycée,37,2,Collège,4,5,Employés,2000,7,6,Ouvriers,1300,3300,"12,63",1,0,0,1,0,1,19,0,0,7,9,6,"12,34",0,8,9,8,"13,02",0,2016,"11,1","0,6","2,02",Graduate
1,44,1,9085,1.00,39,3,Lycée professionnel et technologique,"14,0",1,3,3,3,Lycée,1,3,Lycée,2,3,Cadres et professions intellectuelles,1200,3,4,Professions intermédiaires,1350,2550,"14,00",1,0,0,1,0,0,19,0,0,6,10,5,"12,67",0,6,19,4,"11,75",0,2015,"12,4","0,5","1,79",Enrolled
1,1,1,9773,1.00,1,3,Lycée terminé,"13,3",1,3,3,3,Lycée,19,3,Lycée,4,5,Employés,1200,5,5,Employés,1000,2200,"10,50",1,0,0,1,0,0,20,0,0,6,6,6,"13,83",0,6,6,6,"12,50",0,2011,"12,7","3,7","-1,7",Graduate
1,17,2,9147,1.00,1,3,Lycée terminé,"11,6",1,1,3,3,Lycée,38,2,Collège,4,5,Employés,900,3,4,Professions intermédiaires,1350,2250,"11,46",1,0,0,1,0,0,19,0,0,5,15,2,"10,75",0,5,11,2,"10,00",0,2014,"13,9","-0,3","0,79",Dropout
1,17,5,9853,1.00,1,3,Lycée terminé,"11,7",1,38,2,2,Collège,38,2,Collège,9,6,Ouvriers,1300,7,6,Ouvriers,1300,2600,"11,46",1,0,0,1,0,0,19,0,0,6,11,4,"13,25",0,6,10,4,"10,25",0,2009,"9,4","-0,8","-3,12",Dropout
1,17,1,9500,1.00,1,3,Lycée terminé,"13,7",1,38,2,2,Collège,37,2,Collège,7,6,Ouvriers,900,5,5,Employés,1000,1900,"13,10",1,0,0,1,0,1,18,0,0,8,8,8,"13,73",0,8,8,8,"13,73",0,2009,"9,4","-0,8","-3,12",Graduate
1,17,4,9070,1.00,1,3,Lycée terminé,"11,6",1,38,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"10,90",0,0,0,1,0,1,23,0,0,6,6,6,"13,33",0,6,8,3,"12,67",0,2016,"11,1","0,6","2,02",Dropout
1,1,1,9853,1.00,1,3,Lycée terminé,"13,3",1,19,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,1000,8,6,Ouvriers,1200,2200,"13,20",1,0,0,1,0,0,21,0,0,6,8,5,"12,00",0,6,9,5,"10,80",0,2011,"12,7","3,7","-1,7",Dropout
1,44,1,8014,0.00,39,3,Lycée professionnel et technologique,"13,0",1,37,2,2,Collège,38,2,Collège,6,1,Agriculteurs exploitants,900,6,1,Agriculteurs exploitants,1000,1900,"13,00",1,0,0,1,0,0,23,0,5,9,10,9,"10,89",3,8,10,6,"11,33",0,2016,"11,1","0,6","2,02",Graduate
1,1,3,9500,1.00,1,3,Lycée terminé,"10,6",1,19,3,3,Lycée,37,2,Collège,9,6,Ouvriers,1000,7,6,Ouvriers,1300,2300,"10,95",1,0,0,1,0,0,19,0,0,7,8,7,"13,03",0,8,9,8,"13,81",0,2014,"13,9","-0,3","0,79",Graduate
1,17,2,9773,1.00,1,3,Lycée terminé,"12,5",1,1,3,3,Lycée,38,2,Collège,5,5,Employés,900,6,1,Agriculteurs exploitants,1000,1900,"11,59",1,0,0,1,0,0,18,0,0,6,6,6,"13,00",0,6,6,6,"14,17",0,2015,"12,4","0,5","1,79",Graduate
1,1,1,9773,1.00,1,3,Lycée terminé,"13,4",1,19,3,3,Lycée,37,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"13,16",1,1,0,1,0,0,19,0,0,6,10,5,"11,80",0,6,10,5,"12,00",0,2010,"10,8","1,4","1,74",Graduate
1,39,1,9500,1.00,1,3,Lycée terminé,"13,3",1,19,3,3,Lycée,37,2,Collège,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"12,00",0,0,0,1,0,1,25,0,0,8,8,7,"12,04",0,8,8,7,"12,04",0,2011,"12,7","3,7","-1,7",Graduate
1,1,2,9853,1.00,1,3,Lycée terminé,"11,7",1,1,3,3,Lycée,38,2,Collège,4,5,Employés,1000,9,6,Ouvriers,900,1900,"10,97",1,0,0,1,0,0,19,0,0,6,9,5,"12,20",0,6,10,4,"13,00",0,2009,"9,4","-0,8","-3,12",Enrolled
1,1,1,9500,1.00,1,3,Lycée terminé,"13,6",1,1,3,3,Lycée,19,3,Lycée,5,5,Employés,900,7,6,Ouvriers,1300,2200,"13,64",0,0,0,1,0,1,19,0,0,7,8,7,"12,84",0,8,8,8,"15,50",0,2014,"13,9","-0,3","0,79",Graduate
1,39,1,9556,1.00,1,3,Lycée terminé,"12,0",1,38,2,2,Collège,38,2,Collège,191,6,Ouvriers,900,193,6,Ouvriers,900,1800,"12,00",0,0,1,1,0,1,24,0,0,7,13,7,"11,00",0,8,13,7,"11,70",0,2011,"12,7","3,7","-1,7",Graduate
1,1,1,9670,1.00,1,3,Lycée terminé,"13,5",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1300,7,6,Ouvriers,1300,2600,"13,26",1,0,0,1,0,1,18,0,0,6,7,6,"13,50",0,6,9,5,"14,00",0,2017,"8,9","1,4","3,51",Graduate
1,17,5,9238,1.00,1,3,Lycée terminé,"12,2",1,37,2,2,Collège,37,2,Collège,7,6,Ouvriers,900,5,5,Employés,1000,1900,"11,29",1,0,0,1,0,1,19,0,0,6,8,6,"12,13",0,6,7,6,"12,71",0,2013,"16,2","0,3","-0,92",Graduate
1,1,5,9500,1.00,1,3,Lycée terminé,"14,7",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,9,6,Ouvriers,900,1800,"13,43",0,0,0,1,0,1,18,0,0,8,12,7,"12,63",0,8,12,7,"12,63",0,2011,"12,7","3,7","-1,7",Graduate
1,39,1,9991,0.00,1,3,Lycée terminé,"12,0",1,38,2,2,Collège,1,3,Lycée,9,6,Ouvriers,1200,4,5,Employés,1200,2400,"12,32",0,0,0,1,0,0,27,0,0,5,9,3,"10,67",0,5,7,4,"11,40",0,2010,"10,8","1,4","1,74",Enrolled
1,17,3,9238,1.00,1,3,Lycée terminé,"12,1",1,1,3,3,Lycée,1,3,Lycée,4,5,Employés,1350,5,5,Employés,1000,2350,"11,72",0,0,0,1,0,0,19,0,0,6,11,5,"11,20",0,6,13,5,"11,60",0,2012,"15,5","2,8","-4,06",Graduate
1,18,1,9773,1.00,1,3,Lycée terminé,"13,5",1,1,3,3,Lycée,1,3,Lycée,3,4,Professions intermédiaires,900,3,4,Professions intermédiaires,1350,2250,"12,98",0,0,0,1,0,1,18,0,0,6,6,6,"12,67",0,6,6,6,"11,83",0,2011,"12,7","3,7","-1,7",Dropout
2,39,1,9670,1.00,1,3,Lycée terminé,"13,0",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,0,7,Etudiant,0,900,"15,80",0,0,1,0,0,0,34,0,0,6,7,4,"13,50",0,6,6,0,"0,00",6,2011,"12,7","3,7","-1,7",Dropout
1,1,6,9147,1.00,1,3,Lycée terminé,"12,8",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"11,65",0,0,0,1,0,0,18,0,0,5,9,3,"11,67",0,5,15,2,"11,00",0,2008,"7,6","2,6","0,32",Enrolled
1,1,1,9147,1.00,1,3,Lycée terminé,"12,9",1,37,2,2,Collège,38,2,Collège,4,5,Employés,1300,9,6,Ouvriers,900,2200,"12,10",1,0,0,1,0,0,18,0,0,5,8,2,"10,50",0,5,7,3,"12,33",0,2008,"7,6","2,6","0,32",Enrolled
1,1,3,9500,1.00,1,3,Lycée terminé,"14,3",1,37,2,2,Collège,38,2,Collège,7,6,Ouvriers,1300,7,6,Ouvriers,1300,2600,"13,38",1,0,0,1,0,0,18,0,0,8,8,8,"14,27",0,8,8,8,"14,27",0,2009,"9,4","-0,8","-3,12",Enrolled
1,1,2,9773,1.00,1,3,Lycée terminé,"10,8",1,38,2,2,Collège,38,2,Collège,7,6,Ouvriers,900,7,6,Ouvriers,1300,2200,"11,50",1,0,1,0,0,0,20,0,0,6,0,0,"0,00",0,6,0,0,"0,00",0,2017,"8,9","1,4","3,51",Dropout
1,1,1,9147,1.00,1,3,Lycée terminé,"13,0",1,19,3,3,Lycée,37,2,Collège,9,6,Ouvriers,1350,9,6,Ouvriers,900,2250,"13,18",1,0,0,1,0,1,19,0,0,5,8,2,"10,50",0,5,11,3,"13,33",0,2008,"7,6","2,6","0,32",Enrolled
1,1,1,9238,1.00,1,3,Lycée terminé,"13,5",1,37,2,2,Collège,1,3,Lycée,3,4,Professions intermédiaires,900,5,5,Employés,1000,1900,"12,10",0,0,0,1,0,0,21,0,0,6,11,5,"11,20",0,6,15,1,"10,00",0,2008,"7,6","2,6","0,32",Enrolled
2,39,1,9991,0.00,3,4,Licence,"14,0",1,19,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,1200,7,6,Ouvriers,1300,2500,"15,24",0,0,0,1,0,0,26,0,0,5,5,5,"12,00",0,5,6,5,"14,83",0,2010,"10,8","1,4","1,74",Graduate
1,43,2,9556,1.00,1,3,Lycée terminé,"12,0",1,1,3,3,Lycée,19,3,Lycée,4,5,Employés,1000,3,4,Professions intermédiaires,1350,2350,"11,02",0,0,0,1,0,0,27,0,0,7,9,7,"12,23",1,8,10,8,"13,21",0,2010,"10,8","1,4","1,74",Graduate
1,1,1,9670,1.00,1,3,Lycée terminé,"11,7",1,1,3,3,Lycée,38,2,Collège,5,5,Employés,1000,1,3,Cadres et professions intellectuelles,3000,4000,"11,35",1,0,0,1,0,0,20,0,0,5,6,4,"11,50",0,5,5,4,"10,75",0,2009,"9,4","-0,8","-3,12",Graduate
1,17,1,9238,1.00,1,3,Lycée terminé,"15,1",1,19,3,3,Lycée,1,3,Lycée,5,5,Employés,1000,0,7,Etudiant,0,1000,"14,44",1,0,0,1,0,0,18,0,0,6,8,6,"15,38",0,6,7,6,"16,43",0,2013,"16,2","0,3","-0,92",Graduate
1,53,1,9085,1.00,42,3,Lycée professionnel et technologique,"14,0",1,1,3,3,Lycée,1,3,Lycée,5,5,Employés,1200,5,5,Employés,1000,2200,"14,33",1,0,0,0,0,0,23,0,7,12,19,9,"13,67",4,9,15,6,"13,50",0,2017,"8,9","1,4","3,51",Enrolled
1,39,1,9500,1.00,19,3,Lycée terminé,"13,3",1,1,3,3,Lycée,5,6,Doctorat,4,5,Employés,1000,3,4,Professions intermédiaires,1350,2350,"10,00",0,0,0,1,0,0,24,0,0,8,11,7,"12,61",0,8,11,7,"12,61",0,2011,"12,7","3,7","-1,7",Graduate
1,44,1,9238,1.00,39,3,Lycée professionnel et technologique,"13,0",1,38,2,2,Collège,38,2,Collège,6,1,Agriculteurs exploitants,1350,9,6,Ouvriers,900,2250,"12,63",1,0,0,1,0,1,19,0,3,6,7,5,"12,20",2,6,6,6,"11,50",0,2014,"13,9","-0,3","0,79",Graduate
1,1,1,9773,1.00,1,3,Lycée terminé,"12,5",1,19,3,3,Lycée,38,2,Collège,3,4,Professions intermédiaires,900,5,5,Employés,1000,1900,"11,59",0,0,0,1,0,0,19,0,0,6,13,4,"11,75",0,6,10,4,"11,00",0,2010,"10,8","1,4","1,74",Graduate
1,1,4,9238,1.00,1,3,Lycée terminé,"12,5",1,19,3,3,Lycée,38,2,Collège,9,6,Ouvriers,1000,6,1,Agriculteurs exploitants,1000,2000,"11,49",1,0,1,1,0,1,19,0,0,6,9,5,"11,40",0,6,9,3,"10,00",0,2017,"8,9","1,4","3,51",Enrolled
1,1,1,9238,1.00,1,3,Lycée terminé,"13,5",1,37,2,2,Collège,19,3,Lycée,5,5,Employés,1000,10,5,Employés,1200,2200,"12,10",0,0,1,1,0,0,18,0,0,6,10,5,"10,60",0,6,14,2,"10,00",0,2008,"7,6","2,6","0,32",Enrolled
1,51,1,8014,0.00,1,3,Lycée terminé,"12,1",1,1,3,3,Lycée,38,2,Collège,5,5,Employés,1000,7,6,Ouvriers,1300,2300,"11,23",0,0,0,1,0,0,22,0,14,16,16,13,"10,92",13,13,13,11,"11,45",0,2013,"16,2","0,3","-0,92",Graduate
1,43,1,9070,1.00,1,3,Lycée terminé,"14,1",1,1,3,3,Lycée,19,3,Lycée,5,5,Employés,900,10,5,Employés,1200,2100,"12,70",0,0,0,1,0,0,20,0,0,6,6,5,"12,40",0,6,9,5,"12,40",0,2011,"12,7","3,7","-1,7",Graduate
1,39,1,9003,1.00,1,3,Lycée terminé,"13,0",1,19,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"12,00",0,0,0,1,0,0,25,0,0,6,6,0,"0,00",0,6,6,0,"0,00",0,2016,"11,1","0,6","2,02",Dropout
1,44,1,9003,1.00,39,3,Lycée professionnel et technologique,"18,0",1,1,3,3,Lycée,3,4,Licence,4,5,Employés,900,2,3,Cadres et professions intellectuelles,2000,2900,"18,00",0,0,0,1,0,0,21,0,0,6,6,6,"15,83",0,6,8,6,"15,50",0,2012,"15,5","2,8","-4,06",Graduate
1,1,1,9500,1.00,1,3,Lycée terminé,"11,7",1,19,3,3,Lycée,19,3,Lycée,194,5,Employés,1200,193,6,Ouvriers,900,2100,"11,74",1,0,0,1,0,0,19,0,0,7,12,5,"11,80",0,7,9,6,"11,71",0,2016,"11,1","0,6","2,02",Enrolled
1,17,4,9773,1.00,1,3,Lycée terminé,"12,7",1,1,3,3,Lycée,19,3,Lycée,4,5,Employés,0,1,3,Cadres et professions intellectuelles,3000,3000,"11,58",1,0,0,1,0,0,18,0,0,6,7,6,"12,57",0,6,6,6,"13,67",0,2014,"13,9","-0,3","0,79",Graduate
1,1,3,9670,1.00,1,3,Lycée terminé,"12,6",1,37,2,2,Collège,37,2,Collège,0,7,Etudiant,900,0,7,Etudiant,0,900,"13,65",1,0,0,1,0,0,18,0,0,5,7,3,"12,00",0,5,7,4,"13,25",1,2008,"7,6","2,6","0,32",Graduate
1,17,3,9500,1.00,1,3,Lycée terminé,"14,3",1,3,3,3,Lycée,3,4,Licence,9,6,Ouvriers,1000,7,6,Ouvriers,1300,2300,"12,90",1,0,0,1,1,0,19,0,0,7,8,7,"13,36",0,8,9,8,"14,44",0,2014,"13,9","-0,3","0,79",Graduate
1,1,1,9085,1.00,1,3,Lycée terminé,"14,4",13,3,3,3,Lycée,3,4,Licence,6,1,Agriculteurs exploitants,1000,6,1,Agriculteurs exploitants,1000,2000,"13,76",1,0,0,1,0,1,19,1,0,5,6,5,"15,40",0,5,5,5,"16,00",0,2010,"10,8","1,4","1,74",Graduate
1,17,2,9773,1.00,1,3,Lycée terminé,"12,6",1,37,2,2,Collège,38,2,Collège,5,5,Employés,1000,5,5,Employés,1000,2000,"12,95",1,0,1,0,0,0,18,0,0,6,9,5,"12,20",0,6,9,4,"11,75",0,2010,"10,8","1,4","1,74",Dropout
1,51,1,9238,1.00,39,3,Lycée professionnel et technologique,"14,0",1,38,2,2,Collège,38,2,Collège,5,5,Employés,1200,7,6,Ouvriers,1300,2500,"12,91",1,0,0,1,0,1,20,0,6,11,11,11,"12,82",6,11,11,11,"13,55",0,2015,"12,4","0,5","1,79",Graduate
1,17,5,9500,1.00,1,3,Lycée terminé,"14,8",1,1,3,3,Lycée,19,3,Lycée,4,5,Employés,1000,8,6,Ouvriers,1200,2200,"13,02",1,0,0,1,0,0,19,0,0,7,0,0,"0,00",0,8,0,0,"0,00",0,2015,"12,4","0,5","1,79",Dropout
1,42,1,9500,1.00,1,3,Lycée terminé,"10,0",1,19,3,3,Lycée,37,2,Collège,5,5,Employés,900,7,6,Ouvriers,1300,2200,"13,43",1,0,0,1,0,0,28,0,12,17,21,17,"13,39",11,17,19,17,"13,55",0,2013,"16,2","0,3","-0,92",Graduate
1,1,1,9238,1.00,1,3,Lycée terminé,"15,1",1,37,2,2,Collège,1,3,Lycée,9,6,Ouvriers,1000,9,6,Ouvriers,900,1900,"13,84",1,0,0,1,0,1,20,0,0,6,8,6,"14,25",0,6,8,6,"11,00",0,2011,"12,7","3,7","-1,7",Graduate
1,42,1,8014,0.00,1,3,Lycée terminé,"12,0",1,37,2,2,Collège,38,2,Collège,90,5,Employés,900,7,6,Ouvriers,1300,2200,"12,00",1,0,0,1,0,0,30,0,9,11,19,9,"13,44",5,7,7,7,"14,71",0,2008,"7,6","2,6","0,32",Dropout
1,1,4,9500,1.00,1,3,Lycée terminé,"13,5",1,1,3,3,Lycée,19,3,Lycée,9,6,Ouvriers,1350,7,6,Ouvriers,1300,2650,"12,35",1,0,0,1,0,1,19,0,0,7,8,7,"12,29",0,8,10,8,"11,74",0,2015,"12,4","0,5","1,79",Graduate
1,1,2,9070,1.00,1,3,Lycée terminé,"12,1",1,19,3,3,Lycée,19,3,Lycée,3,4,Professions intermédiaires,1000,3,4,Professions intermédiaires,1350,2350,"11,61",1,0,0,1,0,0,22,0,0,6,7,6,"11,67",0,6,7,5,"13,20",0,2011,"12,7","3,7","-1,7",Graduate
1,1,1,9254,1.00,1,3,Lycée terminé,"11,6",1,38,2,2,Collège,38,2,Collège,5,5,Employés,900,8,6,Ouvriers,1200,2100,"11,08",1,0,0,1,0,0,18,0,0,6,8,6,"12,17",0,6,6,6,"13,50",0,2016,"11,1","0,6","2,02",Graduate
1,17,1,9853,1.00,1,3,Lycée terminé,"14,7",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,1000,9,6,Ouvriers,900,1900,"14,28",1,0,0,1,0,0,23,0,0,6,11,2,"10,00",0,6,15,2,"11,00",0,2008,"7,6","2,6","0,32",Dropout
1,17,4,9070,1.00,1,3,Lycée terminé,"16,0",1,1,3,3,Lycée,19,3,Lycée,5,5,Employés,1300,7,6,Ouvriers,1300,2600,"15,55",1,0,0,1,0,0,18,0,0,6,6,6,"14,00",0,6,6,6,"15,00",0,2016,"11,1","0,6","2,02",Graduate
1,1,1,9853,1.00,1,3,Lycée terminé,"13,3",1,37,2,2,Collège,19,3,Lycée,7,6,Ouvriers,0,7,6,Ouvriers,1300,1300,"12,67",1,0,0,1,0,0,18,0,0,6,9,5,"11,83",0,6,6,4,"12,00",0,2012,"15,5","2,8","-4,06",Enrolled
2,39,1,9773,1.00,19,3,Lycée terminé,"10,0",1,37,2,2,Collège,37,2,Collège,0,7,Etudiant,2000,0,7,Etudiant,0,2000,"16,35",0,0,1,0,1,0,50,0,0,6,7,1,"15,00",0,5,12,0,"0,00",0,2010,"10,8","1,4","1,74",Dropout
1,1,1,171,1.00,1,3,Lycée terminé,"15,1",41,3,3,3,Lycée,3,4,Licence,2,3,Cadres et professions intellectuelles,900,5,5,Employés,1000,1900,"16,19",1,0,0,1,0,1,19,1,0,0,0,0,"0,00",0,0,0,0,"0,00",0,2014,"13,9","-0,3","0,79",Graduate
1,17,2,9254,1.00,1,3,Lycée terminé,"12,4",41,19,3,3,Lycée,38,2,Collège,9,6,Ouvriers,1200,9,6,Ouvriers,900,2100,"12,33",1,0,0,1,0,0,22,1,0,6,7,6,"10,83",0,6,6,6,"10,67",0,2014,"13,9","-0,3","0,79",Graduate
1,44,1,9238,1.00,39,3,Lycée professionnel et technologique,"14,0",41,1,3,3,Lycée,1,3,Lycée,4,5,Employés,1200,6,1,Agriculteurs exploitants,1000,2200,"13,75",0,0,1,1,0,1,23,1,3,6,7,6,"13,14",2,6,6,6,"14,00",0,2015,"12,4","0,5","1,79",Graduate
1,18,4,9085,1.00,1,3,Lycée terminé,"17,0",1,1,3,3,Lycée,1,3,Lycée,4,5,Employés,900,5,5,Employés,1000,1900,"16,66",0,0,1,0,0,1,20,0,2,5,8,5,"14,40",0,5,6,5,"14,00",0,2011,"12,7","3,7","-1,7",Dropout
4,39,1,9238,1.00,19,3,Lycée terminé,"13,3",1,37,2,2,Collège,37,2,Collège,9,6,Ouvriers,900,10,5,Employés,1200,2100,"10,35",0,0,0,0,0,0,44,0,0,6,0,0,"0,00",0,6,0,0,"0,00",0,2014,"13,9","-0,3","0,79",Dropout
